Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Average_Order_Value,Preferred_Category,Region,Channel,Estimated_Annual_Spend,Cluster,Segment
CUST001,35,Female,52136.0,77.3,13.0,84.25,Fashion,South,Online,1095.25,2,Regular Customers
CUST002,47,Male,112575.0,70.7,4.0,293.27,Fashion,South,Store,1173.08,0,Premium Occasional
CUST003,20,Male,44425.0,52.0,9.0,57.65,Beauty,North,Online,518.85,3,Budget Customers
CUST004,27,Male,41107.0,41.2,5.0,83.93,Fashion,North,Online,419.65,3,Budget Customers
CUST005,49,Male,72838.0,78.5,18.0,344.86,Beauty,East,Online,6207.48,1,High-Value Customers
CUST006,27,Female,92389.0,77.2,18.0,262.66,Home & Kitchen,South,Store,4727.88,1,High-Value Customers
CUST007,52,Male,66575.0,80.8,20.0,292.64,Fashion,West,Online,5852.8,1,High-Value Customers
CUST008,41,Female,96160.0,70.5,7.0,275.35,Sports,West,Mobile App,1927.45,0,Premium Occasional
CUST009,24,Male,34079.0,41.0,8.0,84.62,Beauty,South,Mobile App,676.96,3,Budget Customers
CUST010,31,Male,36476.0,43.8,9.0,99.64,Sports,South,Mobile App,896.76,3,Budget Customers
CUST011,42,Female,86277.0,84.6,18.0,284.36,Fashion,South,Online,5118.48,1,High-Value Customers
CUST012,50,Male,122372.0,69.9,7.0,341.42,Home & Kitchen,North,Store,2389.94,0,Premium Occasional
CUST013,53,Female,102794.0,53.7,5.0,330.65,Electronics,North,Store,1653.25,0,Premium Occasional
CUST014,34,Female,84348.0,83.9,14.0,216.66,Sports,West,Mobile App,3033.24,1,High-Value Customers
CUST015,32,Male,87439.0,84.5,22.0,318.59,Home & Kitchen,North,Store,7008.98,1,High-Value Customers
CUST016,36,Female,93873.0,75.4,20.0,348.97,Fashion,South,Mobile App,6979.4,1,High-Value Customers
CUST017,36,Female,58113.0,58.9,9.0,145.74,Beauty,South,Store,1311.66,2,Regular Customers
CUST018,38,Male,65851.0,59.7,16.0,120.75,Electronics,South,Online,1932.0,2,Regular Customers
CUST019,28,Female,59354.0,61.1,16.0,173.51,Electronics,West,Mobile App,2776.16,2,Regular Customers
CUST020,30,Female,46118.0,74.5,14.0,130.92,Electronics,East,Online,1832.88,2,Regular Customers
CUST021,30,Female,46665.0,22.2,6.0,85.09,Sports,West,Online,510.54,3,Budget Customers
CUST022,38,Male,77189.0,80.9,18.0,303.15,Home & Kitchen,East,Online,5456.7,1,High-Value Customers
CUST023,37,Female,51264.0,72.0,11.0,180.38,Home & Kitchen,West,Online,1984.18,2,Regular Customers
CUST024,35,Male,63808.0,70.3,9.0,165.58,Electronics,South,Store,1490.22,2,Regular Customers
CUST025,25,Male,39647.0,55.6,13.0,190.07,Home & Kitchen,West,Mobile App,2470.91,2,Regular Customers
CUST026,31,Male,26076.0,34.6,8.0,84.41,Fashion,East,Online,675.28,3,Budget Customers
